id,category,user_query,knowledge_context,recommended_gesture,is_crisis
103,jee_cbt_panic,During computer based tests the ticking timer on screen makes my hands shake,"Timer-induced visual panic is caused by sympathetic nervous system activation. In the NTA test console, use the 'Review and Next' feature to bypass intimidating questions without hesitation. Practice 3 full-length mocks at home with the countdown timer set to 2 hours 50 minutes to build temporal desensitization.",hand_to_heart,FALSE
104,jee_coaching_pressure,My coaching teacher humiliated me in front of the whole batch for low test rank,"Coaching rank shaming is an outdated and pedagogically harmful pressure tactic used in commercial test hubs. A teacher's harshness reflects their coaching quota metrics, never your intellectual capability or human value. Re-anchor your identity: your exam preparation is for your personal engineering dream, not for coaching billboard rankings.",empathic_nod,FALSE
105,parental_comparison,My parents constantly compare me to my cousin who cleared IIT Bombay and it makes me hate myself,"Parental comparison in Indian culture often stems from familial anxiety projected outward, not a lack of love for you. However, hearing it day after day erodes self-efficacy. Validate your pain: you are an individual with your own learning curve. Maintain calm boundary communication: 'Mom/Dad, when you compare me to bhaiya/didi, it spikes my anxiety and hurts my focus. I am giving my best to improve my own mistakes.'",reassuring_palms,FALSE
106,coaching_financial_guilt,My parents spent 3 lakh rupees on my coaching in Kota and I am failing. I feel like a financial burden,"Financial guilt is the heaviest emotional burden Indian students carry. Your parents invested in your opportunity, not in a transaction with guaranteed marks. A difficult test phase does not erase their love or your worth. The best way to respect their investment is not self-flagellation, but sustainable daily discipline and taking care of your mental health.",hand_to_heart,FALSE
107,parental_anger,My father stopped talking to me after my pre-board report card came,"Parental silent treatment is a manifestation of unmanaged parental disappointment and fear for your future, but it is emotionally punishing. Give the immediate tension 24-48 hours to de-escalate. Prepare a written, realistic 3-week study roadmap showing how you will revise weak chapters. Showing proactive accountability calms parental panic faster than verbal arguments.",reassuring_palms,FALSE
108,hostel_loneliness,I am alone in my 8x8 hostel room in Kota and I cry every night missing my family and home food,"Hostel sensory deprivation and separation shock severely impair cognitive functioning. Establish micro-connections: call family at a fixed 15-minute time each evening, take a daily 20-minute walk outside the hostel room to get natural daylight, and have at least one study-partner chat. Remember: this isolated chapter is temporary, but you must protect your emotional health inside it.",hand_to_heart,FALSE
109,imposter_syndrome,Everyone in my coaching batch answers in 10 seconds while I don't even understand the question,Coaching classroom dynamics create a false illusion called 'Availability Bias'—the loudest 5 students who answer immediately make the other 95 students feel incompetent. Most students are quietly struggling just like you. Focus on your personal mastery of foundational concepts rather than competing in classroom speed contests.,reassuring_palms,FALSE
110,acute_panic_attack,I am hyperventilating my chest hurts and I think I am having a heart attack while studying,"Hyperventilation and chest tightness during study panic are physiological results of the sympathetic fight-or-flight response (adrenaline surge), not a heart condition. Initiate the 4-7-8 Somatic Vagal Reset: Inhale through nose for 4 seconds, hold gently for 7 seconds, exhale slowly with pursed lips for 8 seconds. This stimulates the vagus nerve, slowing heart rate within 90 seconds.",hand_to_heart,FALSE
111,54321_grounding,My mind is spinning with catastrophic thoughts of failing and being ruined,"Perform the 5-4-3-2-1 Sensory Grounding Protocol: Name 5 things you can see (pen, notebook, wall clock, light switch, desk corner), 4 things you can physically feel (feet flat on floor, texture of your sleeve, paper under fingers, chair against back), 3 sounds you hear (fan hum, distant traffic, your own breath), 2 scents you notice, and 1 positive affirmation: 'I am safe in this room right now.'",reassuring_palms,FALSE
112,insomnia_sleep_hygiene,I cannot sleep before exams because formulas keep flashing in my head until 4 AM,"Exam insomnia occurs when bedtime becomes an unstructured worry zone. Apply the 'Cognitive Brain Dump': 30 minutes before sleep, write down all racing formulas, pending chapters, and tomorrow's first task on paper. Close the notebook physically to signal completion to your brain. Dim ambient lights and avoid phone screens for 45 minutes before sleep to allow melatonin release.",thoughtful_chin,FALSE
113,perfectionism_cbt,If I do not get AIR under 500 my entire life is meaningless and ruined,"This is 'Catastrophizing' and 'All-or-Nothing' cognitive distortion. An entrance examination rank determines which college you enter at age 18; it does not determine your long-term success, intelligence, or human happiness. Millions of successful doctors, engineers, entrepreneurs, and scientists attended tier-2/tier-3 colleges or alternate career paths.",empathic_nod,FALSE
114,heartbreak_distraction,The person I loved broke up with me 1 month before my board exams and I cannot focus on studying,"Heartbreak triggers acute neurochemical grief comparable to physical withdrawal. Attempting to suppress it while studying creates emotional exhaustion. Allow yourself a dedicated 15-minute 'Grief Window' daily to feel the pain, cry, and write in a journal. After the window closes, set a clear boundary: 'For the next 45 minutes, I protect my future by solving this chapter.' Your future self deserves your protection.",hand_to_heart,FALSE
115,friendship_drift,My school best friends are ignoring me because I couldn't join their coaching institute,"During competitive exam preparation, social dynamics shift dramatically as peers enter high-stress survival mode. Their distance is often driven by their own exhaustion and coaching schedule, not animosity toward you. Focus on being your own steadfast ally right now. Real friendships rekindle once the exam dust settles.",reassuring_palms,FALSE
116,crisis_tele_manas,"I want to end my life, I bought sleeping pills and I can't take this pressure anymore","CRISIS INTERVENTION (EMERGENCY): Immediate safety escalation. You are deeply precious, and no test or failure is ever worth your life. Please call Tele-MANAS toll-free at 14416 or 1800-891-4416 (Govt. of India 24/7 National Tele Mental Health Programme) right now. You can also contact KIRAN at 1800-599-0019 or AASRA at +91-9820466726. Please talk to a counselor or family member immediately.",hand_to_heart,TRUE
117,crisis_hopelessness,Everyone will be happier if I just disappear and die so they don't have to see my results,"CRISIS INTERVENTION (EMERGENCY): Depression and intense shame are lying to you. Your family and loved ones would be devastated beyond repair; your life is irreplaceable. Please connect immediately with certified professionals at Tele-MANAS (14416, 24/7 Toll-Free) or Vandrevala Foundation (+91 9999 666 555). Help is available right now.",hand_to_heart,TRUE
118,crisis_self_harm,I am cutting my wrists with a blade because the physical pain distracts me from exam anxiety,"CRISIS INTERVENTION (EMERGENCY): Self-harm indicates that emotional pain has overwhelmed your coping capacity. Put down the blade immediately and run cool water over your wrists or hold an ice cube in your palm to activate somatic temperature shock safely. Please call Tele-MANAS at 14416 or visit the nearest clinic. You deserve safe, compassionate medical care without judgment.",hand_to_heart,TRUE
119,teen_breakup,My boyfriend broke up with me 2 months before NEET and I cannot stop crying or focus on books,"Heartbreak triggers acute neurochemical withdrawal (dopamine and oxytocin crash) that mimics physical pain. Suppressing tears while trying to memorize formulas leads to emotional exhaustion. Implement the '15-Minute Scheduled Grief Window': allow yourself 15 minutes each evening to cry, write feelings in a journal, and listen to sad music. When the timer rings, wash your face with cold water, step to your desk, and protect your medical dream. Your future career is permanent; this relationship pain is temporary.",hand_to_heart,FALSE
120,teen_breakup,My girlfriend dumped me for someone in our top batch at coaching and I feel humiliated,"Being replaced in the same social or coaching sphere triggers acute social humiliation and jealousy. Recognize that her choice reflects her personal character and decisions, not your worth or intellectual capability. Avoid creating public drama at coaching. Channel that emotional surge into intense, disciplined question-solving. The greatest vindication is achieving your dream rank and building an unshakeable future.",reassuring_palms,FALSE
121,ghosting_betrayal,The person I talked to every night suddenly ghosted me and blocked my number without any explanation,Ghosting is an emotionally immature exit strategy where the other person avoids accountability because they lack the courage for an honest conversation. The urge to seek closure by creating alternate accounts or asking mutual friends will only prolong your agony. Close the chapter yourself: recognize that their silence is your closure. Block them back on all platforms to protect your study peace.,reassuring_palms,FALSE
122,unrequited_crush_limerence,I have a huge crush on someone at coaching and I waste 3 hours every day daydreaming about them instead of studying,"This is 'Limerence'—an involuntary obsessive mental attachment driven by fantasy. When you catch yourself daydreaming during study hours, use the 'Distraction Sheet Protocol': write the thought or fantasy down in 1 sentence on a scrap piece of paper, place it face-down, and say: 'I will think about this after 9 PM.' This acknowledges the thought without derailing your current study session.",thoughtful_chin,FALSE
123,heartbreak_self_worth,I feel unlovable and ugly after being rejected. I don't feel like eating or opening my books,"Romantic rejection triggers cognitive distortion where a teenager equates one person's opinion with their entire human value. A rejection simply means incompatibility of timing, emotional maturity, or life goals. Your intellect, empathy, humor, and future aspirations remain completely intact. Start with micro-steps: eat a nourishing meal, drink water, and solve just 5 simple problems to rebuild agency.",reassuring_palms,FALSE
124,coaching_relationship_distraction,My partner wants to chat on WhatsApp for 4 hours every night and gets angry when I say I need to study for JEE,"A healthy relationship supports your long-term goals rather than sabotaging them. A partner who demands your prime study hours and guilt-trips your ambition is acting out of insecurity and control. Establish a clear, kind boundary: 'I care about you, but my JEE preparation requires uninterrupted focus from 6 PM to 10 PM. Let us talk for 20 minutes before bed.' If they cannot respect your boundaries, they are not ready for a mature partnership.",thoughtful_chin,FALSE
125,parents_fighting,My parents are screaming and throwing things in the living room while I am trying to study for exams,"Living through domestic parental conflict induces chronic fight-or-flight stress, making memory consolidation nearly impossible. Crucial truth: your parents' marital problems are adult conflicts that are NOT your fault, your burden, or your responsibility to mediate. Protect your study sanctum: put on noise-canceling earphones with brown noise, or move your study desk to a terrace or local public library. When the house is chaotic, shift your high-intensity study hours to 5:00 AM when the house is asleep.",hand_to_heart,FALSE
126,parental_verbal_abuse,My mother called me a useless failure who will end up cleaning dishes on the street because of my mock marks,"Extreme verbal attacks from stressed Indian parents are harmful projections of their own socioeconomic fear and emotional dysregulation. These toxic words reflect their internal panic, never your true potential. Put up an internal psychological shield: repeat quietly, 'This is her panic speaking, not my truth.' Avoid counter-shouting, which only escalates the storm. Let the emotional dust settle, and quietly resume your preparation.",reassuring_palms,FALSE
127,phone_confiscation_privacy,"My father took away my phone, locked my door, and reads all my personal chats with friends","Extreme surveillance and invasion of privacy by parents stems from helicopter parenting and catastrophic fear of exam failure, but it feels suffocating and dehumanizing. To de-escalate tension, propose a structured 'Accountability Contract': voluntarily place your phone in the living room during deep study hours (e.g., 2 PM to 8 PM) and show daily completed chapter checklists. Rebuilding perceived control calms parental panic.",thoughtful_chin,FALSE
128,family_career_pressure,My parents are forcing me to prepare for NEET medical but my real passion is design and computer science,"Indian parental career coercion usually comes from an outdated belief that only medicine or engineering guarantees socioeconomic survival. Rebelling with shouting matches will only entrench their opposition. Adopt the 'Bridge Strategy': fulfill your immediate baseline academic duties for boards/NEET to maintain domestic peace, while spending 45 minutes daily building your design portfolio or coding skills. Present a concrete, evidence-backed career roadmap to them with starting salaries and university prospects after exams.",thoughtful_chin,FALSE
129,sibling_rivalry_comparison,My older brother got into IIT and my parents treat me like an embarrassment who can't do anything right,"Living in the shadow of an accomplished sibling in an Indian household creates deep emotional wounds and resentment. Recognize that comparing apples to oranges is irrational: you have unique cognitive strengths, creative problem-solving skills, and personal interests. Do not let sibling comparison poison your relationship with your brother. You are running your own race; your life milestone is independent of his.",empathic_nod,FALSE
130,toxic_home_hostel_escape,I hate being at home every single day is a battlefield of toxic taunts and arguments,"When home feels like a battlefield, emotional survival requires creating 'Micro-Sanctuaries': spend maximum daylight hours in a school library, coaching study room, or public park. At home, practice 'Grey Rock' communication—respond politely with neutral, factual sentences ('Yes father, I revised chapter 4 today') without reacting emotionally to bait. Focus on exam success as your legitimate ticket to an independent college hostel life.",reassuring_palms,FALSE
131,teen_breakup_grief,I cannot stop checking my ex's Instagram and last seen on WhatsApp every 10 minutes,"Checking an ex's social media triggers intermittent dopamine spikes, keeping your brain locked in a cycle of addiction and grief. Every profile visit resets your healing clock to zero. Do a 'Friction Reset': log out of social media apps, remove them from your home screen, or ask a trusted friend to hold your password for 30 days until your exams conclude. Protect your headspace with fierce intention.",thoughtful_chin,FALSE
132,family_financial_fighting,My parents are fighting about paying my coaching installment and I feel like killing myself so they save money,"CRISIS ESCALATION (EMERGENCY): Please listen to me carefully. Your life has infinite value, and no coaching installment or amount of money in this world is worth more than your breath. Your parents are stressed about finances, but losing you would destroy them forever. Please call Tele-MANAS toll-free at 14416 or KIRAN at 1800-599-0019 immediately. You are not a burden. Help and solutions are available right now.",hand_to_heart,TRUE
133,family_fight_hinglish,Ghar me ladai hogyi meri sabse aur boht stress ho raha hai,"Ohhh bhai sheesh. Ghar me jab sabse ladai aur kalesh hota hai na toh pura dimaag blast hone lagta hai. Ye personal matter hai isliye bina jaane judge nahi karungi, but agar terko share ya vent karne ka maan ho you can always talk to me! Ek baat yaad rakhna: ghar ke adult kalesh tumhari responsibility nahi hain. Earphones lagao, paani piyo aur thoda breath lo.",reassuring_palms,FALSE
134,breakup_kalesh_hinglish,Kuch nhi bhai breakup hogya wahi drame jab dekho tab kalesh aur lafde,"Areehh bhai... 🫂 Happeneds bhaiii, it's okay. Jab har chotu cheez pe kalesh, lafde aur drame hone lage na toh insaan boht frustrate ho jata hai. Pehle ek deep breath leke relax karo. Toxicity se kam hui atleast bhai! Jo constant stress dimaag pe tha wo band hua. Ab khud pe focus karenge aur grow karenge!",hand_to_heart,FALSE
135,relationship_stonewalling_hinglish,Naa dhang se baat krti na kuch her choti chiz pr kalesh karti hai,"Bhai jab samne wala na dhang se baat kare aur har choti baat pe lafda create kare, toh samajh lo wo communication breakdown hai. Kisi aise insaan ke peeche apna mental peace aur study time waste mat karo jo tumhari respect na kare. Let them go. Ab tumhara time hai apne career aur future pe dhyan dene ka.",thoughtful_chin,FALSE
136,toxicity_relief_hinglish,Boht frustrate hogya thaa ab lag rha hai ki thoda stress kam hua dimaag se,"Yehi toh main baat hai bhai! Jab toxic drame aur roz ka kalesh life se nikalta hai na, toh pehle ajeeb lagta hai par dimaag sach me halka feel karta hai. Is mental space ko preserve karo. Jo time roz ke lafdo me waste hota tha, ab wo tumhari personal strength aur mock tests me use hoga.",supportive_wave,FALSE
137,self_growth_mindset_hinglish,Ab khudpr focus karege aur grow karege bhai,"YESSS! Exactly yehi energy chahiye bhai! 🔥 Breakup aur dhokhe ka sabse tagda jawab hota hai tumhara personal comeback. Apni health, apni padhai, aur apne exam rank pe full laser focus lagao. Hum dono milke study schedule set karenge. Grow karenge bhai!",supportive_wave,FALSE
138,domestic_study_chaos_hinglish,Ghar me daily kalesh hota hai sab chillate rehte hain padhai me zero focus hai,"Living in a chaotic house with daily shouting is genuine torture for a student. Remember: unka kalesh unka issue hai, don't absorb their shouting. Agar ghar me padhna impossible ho toh local library ya study room join karo, ya morning 4:30 AM se 8:30 AM ka time use karo jab ghar shant hota hai. Protect your future fiercely.",hand_to_heart,FALSE
139,lonely_venting_hinglish,Bhai mere se baat karlo thoda akele me rona aa raha hai boht akela hu,"Mai right here hu tumhare saath 🫂 Pehle rona aa raha hai toh ro lo, tears ko roko mat—it releases cortisol and calms the nervous system. You are NOT alone. Mai tumhari elder sister ki tarah sun rahi hu. Jo bhi dil me hai, sab nikal do. I'm listening.",hand_to_heart,FALSE
140,confidential_trust_hinglish,Ye personal matter me kisi ko nahi bataya bas terko bata raha hu,"Thank you for trusting me with this ❤️ Tumhari baatein mere paas 100% safe aur confidential hain. Zero judgment, only unconditional support. Jab bhi overburdened feel ho, just say whatever is on your mind. We will walk through this together.",reassuring_palms,FALSE
